province,city,county,honey_plant,plant_type,source_category,distribution_scale,start_month,end_month,notes,terrain
山西,晋城,晋城市,荆条,灌木,主要蜜源,大规模,6,7,统计验证：晋城市荆条面积87.00万亩，占全省36.3%(《中国蜂业》2012),山地
山西,晋中,晋中市,荆条,灌木,主要蜜源,大规模,6,7,统计验证：晋中市荆条面积49.95万亩(《中国蜂业》2012),山地
山西,临汾,临汾市,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：临汾市荆条面积38.10万亩(《中国蜂业》2012),山地
山西,忻州,忻州市,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：忻州市荆条面积25.20万亩(《中国蜂业》2012),山地
山西,长治,长治市,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：长治市荆条面积12.30万亩(《中国蜂业》2012),山地
山西,运城,运城市,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：运城市荆条面积11.25万亩(《中国蜂业》2012),山地
山西,吕梁,吕梁市,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：吕梁市荆条面积10.05万亩(《中国蜂业》2012),山地
贵州,遵义,遵义市,油菜,草本,主要蜜源,大规模,2,4,统计验证：遵义市油菜籽播种面积162.4万亩(贵州统计年鉴2024),山地
贵州,黔南,黔南州,油菜,草本,主要蜜源,大规模,2,4,统计验证：黔南州油菜籽播种面积118.2万亩(贵州统计年鉴2024),喀斯特山地
贵州,毕节,毕节市,油菜,草本,主要蜜源,大规模,2,4,统计验证：毕节市油菜籽播种面积97.5万亩(贵州统计年鉴2024),山地
贵州,安顺,安顺市,油菜,草本,主要蜜源,大规模,2,4,统计验证：安顺市油菜籽播种面积84.4万亩(贵州统计年鉴2024),喀斯特山地
贵州,铜仁,铜仁市,油菜,草本,主要蜜源,大规模,2,4,统计验证：铜仁市油菜籽播种面积80.4万亩(贵州统计年鉴2024),山地
贵州,黔东南,黔东南州,油菜,草本,主要蜜源,大规模,2,4,统计验证：黔东南州油菜籽播种面积80.1万亩(贵州统计年鉴2024),山地
甘肃,平凉,平凉市,刺槐,乔木,主要蜜源,大规模,5,6,统计验证：平凉市刺槐面积约300万亩(甘肃蜜源文献)，庄浪、泾川、灵台为核心分布区,山地
甘肃,庆阳,庆阳市,刺槐,乔木,主要蜜源,大规模,5,6,统计验证：庆阳市刺槐面积约80万亩(甘肃蜜源文献),山地
四川,绵阳,绵阳市,油菜,草本,主要蜜源,大规模,2,4,统计验证：绵阳市油菜面积235.51万亩(四川省农业农村厅2023),丘陵
四川,南充,南充市,油菜,草本,主要蜜源,大规模,2,4,统计验证：南充市油菜面积210.7万亩(南充日报2023),丘陵
四川,成都,成都市,油菜,草本,主要蜜源,大规模,2,4,统计验证：成都市油菜面积182.5万亩(成都市政府2023),平原
四川,德阳,德阳市,油菜,草本,主要蜜源,大规模,2,4,统计验证：德阳市油菜籽面积128.76万亩(德阳市政府2024),丘陵
安徽,安庆,安庆市,油菜,草本,主要蜜源,大规模,2,4,统计验证：安庆市油菜面积152.9万亩(安庆市农业农村局2023)，居全省第一,丘陵平原
安徽,六安,六安市,油菜,草本,主要蜜源,大规模,2,4,统计验证：六安市油菜播种面积81.4万亩(六安市统计局2023),丘陵
安徽,芜湖,芜湖市,油菜,草本,主要蜜源,中等规模,2,4,统计验证：芜湖市油菜面积61.0万亩(芜湖市统计局2023),平原
安徽,滁州,滁州市,油菜,草本,主要蜜源,中等规模,2,4,统计验证：滁州市油菜面积34.59万亩(滁州日报2023),丘陵平原
福建,漳州,漳州市,龙眼,乔木,主要蜜源,中等规模,4,5,统计验证：漳州市龙眼面积28.7万亩，占全省47.5%(福建省农业农村厅2023),丘陵
福建,泉州,泉州市,龙眼,乔木,主要蜜源,中等规模,4,5,统计验证：泉州市龙眼面积逾12万亩(福建省农业农村厅2023),丘陵
福建,莆田,莆田市,龙眼,乔木,主要蜜源,中等规模,4,5,统计验证：莆田市龙眼面积约6.3万亩(福建省农业农村厅2023),丘陵
湖南,常德,常德市,油菜,草本,主要蜜源,大规模,2,4,统计验证：常德市油菜面积442.65万亩(常德市农业农村局2023)，面积和产量均居全省第一,平原丘陵
湖南,湘西,湘西州,油茶,乔木,辅助蜜源,大规模,10,12,统计验证：湘西州油茶面积117万亩(湘西州人大调研报告2023)；油茶花为秋冬重要蜜源,山地
